Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,33-0000,Protective Service Occupations,1700,1950,250,14.7,790,1030,2070,45.10,93808.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,33-1000,Supervisors of Protective Service Workers,200,220,20,10.0,60,80,160,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,33-1011,First-Line Supervisors of Correctional Officers,160,170,10,6.3,50,60,120,0.00,0.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,33-2000,Fire Fighting and Prevention Workers,190,230,40,21.1,40,100,180,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,33-2011,Firefighters,180,220,40,22.2,40,100,180,0.00,0.00,Postsecondary non-degree award,None,Long-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,33-3000,Law Enforcement Workers,970,1050,80,8.2,350,500,930,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,33-3012,Correctional Officers and Jailers,780,810,30,3.8,300,400,730,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,33-3051,Police and Sheriff's Patrol Officers,190,230,40,21.1,50,100,190,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,33-9000,Other Protective Service Workers,350,460,110,31.4,330,350,790,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,33-9032,Security Guards,170,260,90,52.9,110,170,370,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",60,70,10,16.7,90,70,170,15.20,31623.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,35-0000,Food Preparation and Serving Related Occupations,3570,4130,560,15.7,2700,3900,7160,13.13,27317.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,35-1000,Supervisors of Food Preparation and Serving Workers,220,260,40,18.2,100,260,400,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,210,250,40,19.0,100,250,390,16.43,34178.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,35-2000,Cooks and Food Preparation Workers,1010,1150,140,13.9,600,970,1710,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-2011,"Cooks, Fast Food",310,300,-10,-3.2,160,270,420,12.60,26205.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-2012,"Cooks, Institution and Cafeteria",230,250,20,8.7,130,210,360,18.10,37639.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-2014,"Cooks, Restaurant",340,440,100,29.4,210,340,650,15.12,31458.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-2021,Food Preparation Workers,120,150,30,25.0,100,130,260,12.97,26977.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,35-3000,Food and Beverage Serving Workers,1920,2260,340,17.7,1620,2260,4220,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-3011,Bartenders,50,60,10,20.0,30,70,110,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",880,1090,210,23.9,790,970,1970,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",180,190,10,5.6,210,190,410,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-3031,Waiters and Waitresses,740,840,100,13.5,550,960,1610,13.20,27451.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-3041,"Food Servers, Nonrestaurant",70,80,10,14.3,60,60,130,14.25,29625.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,35-9000,Other Food Preparation and Serving Related Workers,410,460,50,12.2,370,400,820,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,220,240,20,9.1,190,200,410,12.58,26153.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-9021,Dishwashers,120,140,20,16.7,100,110,230,12.43,25865.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",70,90,20,28.6,90,90,200,12.28,25546.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,37-0000,Building and Grounds Cleaning and Maintenance Occupations,1820,1970,150,8.2,1100,1380,2630,13.24,27523.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,120,130,10,8.3,50,90,150,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,50,50,0,0.0,20,30,50,20.85,43366.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",70,80,10,14.3,30,60,100,32.42,67428.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,37-2000,Building Cleaning and Pest Control Workers,1380,1480,100,7.2,910,990,2000,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",790,850,60,7.6,500,580,1140,12.73,26483.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,37-2012,Maids and Housekeeping Cleaners,550,580,30,5.5,400,360,790,15.15,31510.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,37-2021,Pest Control Workers,50,50,0,0.0,10,50,60,16.58,34487.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,37-3000,Grounds Maintenance Workers,320,360,40,12.5,140,300,480,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,37-3011,Landscaping and Groundskeeping Workers,270,310,40,14.8,120,260,420,13.64,28358.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,39-0000,Personal Care and Service Occupations,2900,3880,980,33.8,2440,2530,5950,14.00,29120.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,39-2000,Animal Care and Service Workers,200,270,70,35.0,160,210,440,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,39-2021,Nonfarm Animal Caretakers,160,220,60,37.5,130,170,360,13.89,28893.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,39-3000,Entertainment Attendants and Related Workers,100,120,20,20.0,120,140,280,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,39-3091,Amusement and Recreation Attendants,100,110,10,10.0,110,130,250,12.03,25031.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,39-5000,Personal Appearance Workers,90,80,-10,-11.1,50,50,90,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,39-6000,"Baggage Porters, Bellhops, and Concierges",30,30,0,0.0,10,20,30,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,39-9000,Other Personal Care and Service Workers,2460,3360,900,36.6,2090,2080,5070,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,39-9011,Childcare Workers,150,150,0,0.0,110,110,220,13.89,28873.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,39-9021,Personal Care Aides,1940,2760,820,42.3,1740,1540,4100,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,41-0000,Sales and Related Occupations,3260,3510,250,7.7,2050,2990,5290,14.70,30573.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,41-1000,Supervisors of Sales Workers,380,420,40,10.5,140,300,480,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,41-1011,First-Line Supervisors of Retail Sales Workers,330,370,40,12.1,120,270,430,19.55,40653.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,41-1012,First-Line Supervisors of Non-Retail Sales Workers,50,50,0,0.0,20,30,50,29.90,62177.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,41-2000,Retail Sales Workers,2280,2430,150,6.6,1710,2190,4050,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,41-2011,Cashiers,1180,1270,90,7.6,1090,1220,2400,12.74,26481.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,41-2021,Counter and Rental Clerks,140,160,20,14.3,80,120,220,20.56,42757.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,41-2022,Parts Salespersons,110,120,10,9.1,50,90,150,15.26,31740.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,41-2031,Retail Salespersons,850,890,40,4.7,500,770,1310,13.05,27147.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,41-3000,"Sales Representatives, Services",290,320,30,10.3,100,260,390,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,41-3021,Insurance Sales Agents,50,50,0,0.0,20,30,50,40.32,83858.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,41-3099,"Sales Representatives, Services, All Other",170,190,20,11.8,50,170,240,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,41-4000,"Sales Representatives, Wholesale and Manufacturing",290,310,20,6.9,90,220,330,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",240,260,20,8.3,80,180,280,31.32,65156.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,41-9000,Other Sales and Related Workers,30,30,0,0.0,10,20,30,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,43-0000,Office and Administrative Support Occupations,5380,5680,300,5.6,2740,3770,6810,18.72,38942.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,43-1000,Supervisors of Office and Administrative Support Workers,370,390,20,5.4,140,260,420,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-1011,First-Line Supervisors of Office and Administrative Support Workers,370,390,20,5.4,140,260,420,24.30,50537.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,43-3000,Financial Clerks,860,910,50,5.8,470,550,1070,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-3021,Billing and Posting Clerks,150,170,20,13.3,60,110,190,18.66,38829.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",470,490,20,4.3,290,270,580,19.51,40581.00,"Some college, no degree",None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-3051,Payroll and Timekeeping Clerks,100,110,10,10.0,50,70,130,23.34,48539.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-3071,Tellers,110,110,0,0.0,60,80,140,14.30,29744.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,43-4000,Information and Record Clerks,1110,1170,60,5.4,600,930,1590,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-4051,Customer Service Representatives,280,290,10,3.6,140,240,390,16.38,34077.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-4061,"Eligibility Interviewers, Government Programs",30,40,10,33.3,10,20,40,22.56,46921.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-4081,"Hotel, Motel, and Resort Desk Clerks",180,180,0,0.0,100,210,310,14.44,30031.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-4121,"Library Assistants, Clerical",40,50,10,25.0,40,30,80,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-4171,Receptionists and Information Clerks,210,240,30,14.3,130,170,330,13.02,27091.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-4199,"Information and Record Clerks, All Other",50,50,0,0.0,20,30,50,23.62,49133.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",1090,1190,100,9.2,490,800,1390,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-5031,"Police, Fire, and Ambulance Dispatchers",30,30,0,0.0,10,20,30,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",60,70,10,16.7,20,40,70,21.20,44094.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-5041,"Meter Readers, Utilities",40,40,0,0.0,20,20,40,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-5052,Postal Service Mail Carriers,90,90,0,0.0,30,40,70,31.71,65962.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-5071,"Shipping, Receiving, and Traffic Clerks",120,130,10,8.3,40,80,130,17.49,36392.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-5081,Stock Clerks and Order Fillers,520,580,60,11.5,280,450,790,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,43-6000,Secretaries and Administrative Assistants,950,970,20,2.1,490,580,1090,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-6011,Executive Secretaries and Executive Administrative Assistants,100,90,-10,-10.0,50,60,100,28.67,59642.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-6013,Medical Secretaries,300,350,50,16.7,170,200,420,18.50,38471.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",530,510,-20,-3.8,270,310,560,19.55,40663.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,43-9000,Other Office and Administrative Support Workers,1000,1040,40,4.0,540,660,1240,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-9021,Data Entry Keyers,30,20,-10,-33.3,10,20,20,15.99,33247.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-9041,Insurance Claims and Policy Processing Clerks,70,80,10,14.3,30,50,90,19.07,39679.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,43-9061,"Office Clerks, General",840,870,30,3.6,480,550,1060,17.39,36177.00,High school diploma or equivalent,None,Short-term on-the-job training
